video_id,title,views,likes,comments,publish_date,engagement_rate,viral_score,publish_day,publish_hour,comment_text,clean_comment,sentiment_score,sentiment_label
WmW5E1bfuOg,Best Camera Phone देख कर Tourist हुए खुश  🤩#shorts,753007,36340,364,2026-01-17 09:04:21+00:00,0.0487432387746727,14754.4,Saturday,9,This content is very relatable and informative,this content is very relatable and informative,0.2,Relatable
I3e7Bh5a520,₹2.5 Lakh AI Dog vs Real Dog 🐕‍🦺#shorts,3787416,101512,436,2026-01-16 09:54:35+00:00,0.0269175606798936,40866.4,Friday,9,This content is very relatable and informative,this content is very relatable and informative,0.2,Relatable
cDC-aloZLuk,iPhone 17 Pro Water Test Till DEAD😵,14094281,700215,5355,2026-01-14 08:15:11+00:00,0.0500607303061433,283299.0,Wednesday,8,This content is very relatable and informative,this content is very relatable and informative,0.2,Relatable
PNWqGdb-Vic,नेता जी को मिला कमाल के Features वाला Phone vivo X300 😯#shorts,1484665,64852,462,2026-01-13 12:31:20+00:00,0.0439924157975031,26218.000000000004,Tuesday,12,This content is very relatable and informative,this content is very relatable and informative,0.2,Relatable
oKYQqvkj-cM,Titanic Raise Reality 🤯 #shorts,1838683,96770,671,2026-01-11 13:11:43+00:00,0.0529949969624997,39110.6,Sunday,13,This content is very relatable and informative,this content is very relatable and informative,0.2,Relatable
3XEcmdzAUAY,पापा के पैसे से लिया Best Gaming Phone : OnePlus 15R 🤩#shorts,3986409,124912,704,2026-01-09 12:30:09+00:00,0.0315110667269715,50387.2,Friday,12,This content is very relatable and informative,this content is very relatable and informative,0.2,Relatable
kWlPSXXMDHY,Top 3 Amazing Kites For Makar Sankranti😛#shorts,19143957,237419,444,2026-01-08 14:36:37+00:00,0.0124249652253188,95234.0,Thursday,14,This content is very relatable and informative,this content is very relatable and informative,0.2,Relatable
1kPLtbgZzeY,I Surprised My Best Friend With a New Car😁#shorts,11450173,258224,1233,2025-12-25 14:33:53+00:00,0.0226596576313737,104029.4,Thursday,14,This content is very relatable and informative,this content is very relatable and informative,0.2,Relatable
_BZFzFlpiKQ,Electric Cycle Vs Normal Cycle कौन जीतेगा Race🧐 #shorts,15126721,237327,526,2025-12-15 08:35:00+00:00,0.0157240290212267,95246.4,Monday,8,This content is very relatable and informative,this content is very relatable and informative,0.2,Relatable
amG5tAXSKkk,Kabaddi Game मै जीता Best Gaming Phone 😍#shorts,1741014,58820,609,2025-11-26 09:18:02+00:00,0.0341347054073086,23893.4,Wednesday,9,This content is very relatable and informative,this content is very relatable and informative,0.2,Relatable
EGyYHFbZPtA,3 Dosto ने खरीदा Diwali में कमाल के फ़ोन😍#shorts,5864109,176675,673,2025-10-15 08:25:52+00:00,0.0302429576257876,71073.8,Wednesday,8,This content is very relatable and informative,this content is very relatable and informative,0.2,Relatable
vW2K0L-vUgw,iPhone 17 Pro Max Dropped In Public 🤯 #shorts,116283811,1927375,4926,2025-09-28 10:10:21+00:00,0.016617111043944,773905.6,Sunday,10,This content is very relatable and informative,this content is very relatable and informative,0.2,Relatable
