video_id,title,views,likes,comments,publish_date
WmW5E1bfuOg,Best Camera Phone देख कर Tourist हुए खुश  🤩#shorts,753007,36340,364,2026-01-17T09:04:21Z
I3e7Bh5a520,₹2.5 Lakh AI Dog vs Real Dog 🐕‍🦺#shorts,3787416,101512,436,2026-01-16T09:54:35Z
cDC-aloZLuk,iPhone 17 Pro Water Test Till DEAD😵,14094281,700215,5355,2026-01-14T08:15:11Z
PNWqGdb-Vic,नेता जी को मिला कमाल के Features वाला Phone vivo X300 😯#shorts,1484665,64852,462,2026-01-13T12:31:20Z
oKYQqvkj-cM,Titanic Raise Reality 🤯 #shorts,1838683,96770,671,2026-01-11T13:11:43Z
3XEcmdzAUAY,पापा के पैसे से लिया Best Gaming Phone : OnePlus 15R 🤩#shorts,3986409,124912,704,2026-01-09T12:30:09Z
kWlPSXXMDHY,Top 3 Amazing Kites For Makar Sankranti😛#shorts,19143957,237419,444,2026-01-08T14:36:37Z
1kPLtbgZzeY,I Surprised My Best Friend With a New Car😁#shorts,11450173,258224,1233,2025-12-25T14:33:53Z
_BZFzFlpiKQ,Electric Cycle Vs Normal Cycle कौन जीतेगा Race🧐 #shorts,15126721,237327,526,2025-12-15T08:35:00Z
amG5tAXSKkk,Kabaddi Game मै जीता Best Gaming Phone 😍#shorts,1741014,58820,609,2025-11-26T09:18:02Z
EGyYHFbZPtA,3 Dosto ने खरीदा Diwali में कमाल के फ़ोन😍#shorts,5864109,176675,673,2025-10-15T08:25:52Z
vW2K0L-vUgw,iPhone 17 Pro Max Dropped In Public 🤯 #shorts,116283811,1927375,4926,2025-09-28T10:10:21Z
TM2ihnSvnyA,moto g86 rocked Majnu bhai shocked 🤯#techmaster,1642415,70191,471,2025-07-30T06:30:15Z
L3DNOD4JrQk,तारा सितारा को मिला कमाल का Upcoming Mobile : iQOO Neo 10 🤯 #shorts,5867807,191416,403,2025-05-09T08:25:00Z
RS3sViCh6Ik,दोस्त को दिया Motorola Edge 60 Pro 😍#shorts,2709489,108924,344,2025-05-01T14:54:01Z
BPXg68PC6Es,मैंने मंगाया 2 कमाल के Car Gadgets 🤩#shorts,64723025,1028283,691,2025-04-17T12:29:51Z
AG6fVo6h524,सबसे Fast Discharge होने वाला Flagship Phone😲,3761658,194867,6110,2025-03-17T08:25:00Z
3WAQXHrPuqY,1500000 का mystery gadgets vs 3 friend कौन मारे गा बाजी 😱#shorts,15042855,405992,457,2025-03-06T09:32:24Z
DXBccuTNtTU,This is a Real Smart Phone🤯- Samsung S25 Ultra series Unpacked Event #shorts  #samsung,5787942,246382,5743,2025-01-23T12:30:11Z
xWljUUhGNHY,₹150 Vs ₹15000 Mouse!😱 #shorts,971489,91978,430,2024-11-19T12:45:17Z
RwQfJJZG4_E,"₹ 4,00,000 का Gaming PC V/S ₹ 2,00,000 का  Mac Studio 🥵 #shorts",15317344,680874,2103,2024-11-16T15:05:00Z
RcUvGN8lZXo,3 Amazing Flight Gadgets 😱#shorts,23177847,401346,502,2024-11-06T11:44:28Z
BMzzJ2CHNUA,कमाल की है ये अनोखी अंगुठी boAt Smat Ring 🤯#shorts,1713589,87700,379,2024-10-24T15:01:13Z
n5bwCtH1ris,4 Amazing Smart Bathroom Gadgets🤓#shorts,1875636,126581,432,2024-10-18T08:25:00Z
XAidJjuh5gk,Top 5 Amazing Cycle Gadgets🤯#shorts,28039273,717476,1150,2024-10-04T12:30:34Z
8453RdTR_hk,Subscriber को Gift किया Samsung M55s😱#shorts,14367566,722916,41884,2024-10-03T12:30:10Z
DmVCSeWbl8I,₹5 में 3 Phone Cleaner😍#shorts,6638727,265994,1147,2024-10-02T08:33:58Z
bFAdmkqoWy0,ये है Sabse Value for Money Smartphone on BBD Sale 😍 #shorts  #techmaster,819376,56382,597,2024-09-22T14:05:00Z
Mo_6f1JlfAA,VI 5G V/S JIO 5G V/S AIRTEL 5G : कोन है सब से Fast 👑 #shorts,4889730,242624,847,2024-09-14T15:00:28Z
Pu2UbPJHnzo,Tech Master ने किया अपनी Society में सबसे बड़ा Give Away 😱,6139756,267383,1822,2024-08-20T14:00:25Z
